id,no_int,LATENT,LATENT2,AVERAGE,o_ffi,oi_bfas,o_bfas,i_bfas,bfasi01,bfasi02,bfasi03,bfasi04,bfasi05,bfasi06,bfasi07,bfasi08,bfasi09,bfasi10,bfaso01,bfaso02,bfaso03,bfaso04,bfaso05,bfaso06,bfaso07,bfaso08,bfaso09,bfaso10,o01,o02,o03,o04,o05,o06,o07,o08,o09,o10,o11,o12
208,0.133,0.004,0.051,3.616666667,3.583333333,3.65,3.9,3.4,3,4,3,3,4,5,3,4,3,2,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,2,4,4,3,3,4,4
209,-0.77,-0.323,-0.466,3.025,3,3.05,2.9,3.2,3,3,3,3,5,1,4,4,2,4,3,3,3,1,3,1,5,2,5,3,3,4,3,3,3,3,3,3,4,1,3,3
210,-0.397,-0.17,-0.176,3.35,3.25,3.45,3.4,3.5,3,3,4,5,3,3,3,4,3,4,4,4,4,4,4,2,4,2,2,4,4,4,3,2,3,3,2,4,3,4,4,3
211,-0.549,-0.31,-0.522,3,3,3,3.2,2.8,3,2,3,2,4,2,3,3,3,3,3,4,3,5,3,2,3,2,4,3,3,4,3,4,2,3,2,3,2,3,3,4
213,-0.408,-0.226,-0.389,3.133333334,3.166666667,3.1,3.4,2.8,4,3,4,1,1,1,3,4,4,3,5,3,5,5,2,3,3,3,2,3,5,5,3,3,3,4,2,3,2,2,4,2
214,-0.456,-0.05,0.08,3.55,3.5,3.6,3.6,3.6,3,4,5,3,2,5,3,3,4,4,2,5,4,2,5,4,4,4,1,5,4,5,2,4,5,4,2,2,4,4,4,2
215,-0.384,-0.089,-0.115,3.425,3.5,3.35,3.2,3.5,4,3,4,3,4,2,3,4,4,4,3,5,3,4,4,2,4,2,1,4,2,5,4,4,3,4,2,4,3,4,4,3
217,0.288,0.137,0.081,3.758333334,3.916666667,3.6,4,3.2,4,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
218,-0.069,0.335,0.396,4.183333334,4.416666667,3.95,3.6,4.3,4,4,4,5,5,5,5,4,4,3,3,5,4,3,3,2,4,5,4,3,4,5,4,5,4,5,5,5,2,4,5,5
219,-0.076,-0.278,-0.383,3.15,3,3.3,3.4,3.2,3,2,3,4,3,4,3,3,3,4,2,4,3,5,3,4,4,2,3,4,3,4,3,2,3,3,3,4,2,2,4,3
221,0.574,0.186,0.273,3.908333334,3.916666667,3.9,4.5,3.3,3,4,2,3,3,3,3,5,4,3,5,5,3,5,4,4,5,5,4,5,3,4,4,4,4,4,5,4,4,3,4,4
222,-0.22,-0.165,-0.286,3.333333334,3.166666667,3.5,4,3,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2,4,4,5,5,2,4,4,3,2,4,4,5,1,4,3,2
224,0.242,0.015,-0.124,3.425,3.75,3.1,3.6,2.6,3,3,2,2,2,2,2,4,2,4,5,4,4,5,4,3,4,1,1,5,4,5,4,2,4,4,4,4,4,4,3,3
225,-0.027,-0.18,-0.279,3.308333334,3.166666667,3.45,3.8,3.1,4,3,3,3,2,2,3,2,4,5,4,4,4,5,2,4,3,4,4,4,4,4,3,3,3,3,4,3,2,2,5,2
226,-0.347,-0.045,-0.139,3.466666667,3.583333333,3.35,3.4,3.3,4,4,3,2,3,4,3,4,4,2,2,4,4,2,4,2,4,4,4,4,4,3,3,4,4,4,4,4,3,2,4,4
227,-0.677,-0.248,-0.377,3.183333334,3.166666667,3.2,2.9,3.5,4,3,4,2,3,4,3,4,4,4,4,4,3,4,1,3,2,2,2,4,4,4,3,4,2,4,2,2,2,4,4,3
228,0.149,0.091,0.024,3.775,3.75,3.8,4.1,3.5,4,3,3,3,3,4,3,4,4,4,3,4,4,5,3,3,4,5,5,5,4,4,3,4,3,4,4,4,3,4,4,4
229,0.006,-0.03,-0.101,3.525,3.5,3.55,4,3.1,3,2,4,3,2,3,3,4,3,4,3,4,5,5,4,4,4,1,5,5,4,4,2,4,4,4,2,5,2,4,5,2
230,-0.24,0.007,0.038,3.608333334,3.666666667,3.55,3.5,3.6,4,3,4,5,4,3,3,3,3,4,4,4,5,3,4,4,3,1,2,5,4,4,4,3,4,4,3,4,2,4,4,4
231,0.667,0.364,0.323,4.025,4.5,3.55,4,3.1,4,2,4,3,3,4,3,2,3,3,4,5,5,5,5,4,2,1,4,5,5,4,4,5,4,5,5,5,4,5,4,4
232,0.415,0.173,0.2,3.916666667,4.083333333,3.75,3.3,4.2,5,4,4,4,4,3,3,5,5,5,4,5,4,4,1,4,2,2,2,5,3,5,3,4,2,4,5,5,4,4,5,5
233,-0.249,-0.08,-0.179,3.483333334,3.416666667,3.55,3.7,3.4,4,3,4,3,3,4,3,4,3,3,4,4,4,3,3,3,3,4,5,4,4,5,3,4,2,3,4,4,2,3,4,3
234,-0.192,-0.236,-0.499,3.025,3.25,2.8,3,2.6,3,2,2,2,3,4,2,3,2,3,2,4,3,4,3,3,3,3,1,4,4,4,3,2,4,3,4,4,2,3,4,2
235,0.288,0.17,0.1,3.8,4,3.6,4,3.2,4,3,4,3,2,2,3,4,3,4,5,4,4,4,2,4,4,4,4,5,4,5,5,4,3,4,4,4,4,4,4,3
236,-0.272,-0.31,-0.661,2.825,3,2.65,3.6,1.7,2,1,1,1,2,2,1,2,2,3,3,5,4,3,3,3,3,4,4,4,2,3,3,3,3,3,3,4,3,3,4,2
237,-0.292,-0.07,-0.151,3.525,3.5,3.55,3.3,3.8,4,3,4,4,4,3,3,4,5,4,1,4,4,4,3,3,5,2,3,4,4,3,3,3,3,4,3,5,1,3,5,5
238,-0.82,-0.327,-0.515,3.158333334,2.916666667,3.4,3,3.8,4,2,4,4,4,3,5,5,3,4,2,4,3,4,1,1,2,4,5,4,4,5,2,4,1,2,2,4,1,3,4,3
239,-0.252,-0.179,-0.517,3.15,3.25,3.05,3.7,2.4,3,3,3,3,2,2,1,3,2,2,4,4,4,5,1,2,3,5,5,4,4,4,4,4,2,3,4,4,1,2,3,4
240,-0.079,0.081,-0.005,3.666666667,3.833333333,3.5,3.7,3.3,4,3,3,2,3,3,3,4,4,4,3,5,4,3,4,3,3,4,4,4,4,5,4,4,4,4,4,4,3,3,4,3
241,0.247,0.058,0.208,3.7,3.75,3.65,3.7,3.6,4,4,4,3,3,1,3,5,5,4,3,4,4,5,4,4,2,3,3,5,3,5,4,4,5,3,3,3,5,3,4,3
243,-0.061,-0.236,-0.187,3.216666667,3.083333333,3.35,3.5,3.2,3,3,4,4,2,3,4,4,2,3,4,4,4,5,4,4,3,2,1,4,3,3,4,2,3,2,3,3,3,3,4,4
244,-0.315,-0.334,-0.362,3.141666667,2.833333333,3.45,3.4,3.5,4,3,4,4,3,3,3,4,3,4,4,4,4,4,2,4,4,2,2,4,4,4,3,3,2,2,2,4,2,2,4,2
245,0.083,-0.103,-0.081,3.516666667,3.333333333,3.7,3.7,3.7,4,4,4,3,4,3,4,4,3,4,4,3,4,5,3,4,4,2,4,4,4,4,3,4,3,2,3,4,3,3,4,3
246,-0.313,-0.193,-0.428,3.141666667,3.333333333,2.95,3,2.9,3,3,4,3,3,2,2,4,2,3,3,2,4,3,2,3,3,1,5,4,4,3,3,3,3,4,3,4,3,3,4,3
247,-0.197,-0.165,-0.378,3.266666667,3.333333333,3.2,3.2,3.2,3,4,4,3,3,3,3,3,3,3,2,3,4,4,2,4,3,2,4,4,4,4,3,4,2,4,3,4,2,3,4,3
248,0.287,0.101,0.305,3.85,3.75,3.95,4.1,3.8,5,3,4,5,2,4,3,4,4,4,3,4,5,5,5,3,3,4,4,5,4,4,4,2,5,4,4,4,4,2,4,4
249,0.146,0,-0.165,3.383333334,3.666666667,3.1,3.9,2.3,3,3,2,4,3,1,2,2,1,2,5,4,3,5,5,4,2,3,4,4,4,4,4,3,3,4,3,4,3,4,4,4
250,0.397,0.128,0.261,3.733333334,3.916666667,3.55,3.9,3.2,5,3,4,2,2,1,4,4,4,3,5,4,2,5,3,4,4,3,4,5,5,5,5,2,4,2,3,4,5,2,5,5
251,-0.532,-0.237,-0.418,3.133333334,3.166666667,3.1,3.2,3,3,2,3,4,3,4,2,3,2,4,4,4,4,4,2,2,4,2,2,4,2,4,4,4,2,4,2,4,2,4,4,2
252,-0.27,-0.279,-0.487,3.1,3,3.2,3.5,2.9,3,2,4,2,3,3,3,3,3,3,4,5,2,5,2,2,4,4,4,3,3,5,3,3,2,4,3,4,2,2,3,2
254,-0.158,-0.203,-0.222,3.258333334,3.166666667,3.35,3.5,3.2,4,2,4,2,3,3,4,3,4,3,4,4,4,5,3,3,3,3,2,4,3,4,4,3,3,3,3,3,3,3,4,2
255,-0.011,-0.17,-0.122,3.383333334,3.166666667,3.6,3.8,3.4,4,4,4,2,3,2,4,4,4,3,5,5,3,4,3,3,4,4,4,3,2,4,4,3,2,3,3,4,4,3,4,2
256,-0.161,-0.266,-0.34,3.2,3,3.4,3.5,3.3,4,2,4,4,2,4,2,3,4,4,3,5,3,4,4,4,3,2,3,4,3,3,3,3,2,4,2,4,3,3,3,3
257,0.178,0.032,-0.003,3.616666667,3.583333333,3.65,4.4,2.9,4,3,2,3,4,1,3,4,3,2,4,5,4,4,4,4,4,5,5,5,3,4,3,4,3,4,2,5,4,4,4,3
258,-0.506,-0.309,-0.436,3.083333334,2.916666667,3.25,3.5,3,4,3,3,2,3,2,3,4,3,3,4,4,3,4,3,2,4,3,4,4,4,3,3,3,2,3,2,4,2,3,4,2
259,-0.052,-0.272,-0.46,3.15,3,3.3,3.5,3.1,4,2,4,3,4,2,3,3,3,3,4,4,3,4,2,3,4,3,4,4,4,2,3,3,1,3,3,5,3,3,3,3
260,-0.459,-0.298,-0.545,2.966666667,3.083333333,2.85,3,2.7,3,2,3,3,3,2,3,3,2,3,3,3,4,2,2,4,4,2,2,4,3,4,3,3,2,3,3,4,2,3,4,3
261,0.258,0.156,0.115,3.825,4,3.65,3.7,3.6,4,4,4,2,4,2,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4
262,0.385,-0.016,-0.008,3.516666667,3.583333333,3.45,3.8,3.1,4,3,3,3,3,3,3,4,3,2,5,5,3,5,4,4,4,2,3,3,3,3,4,5,4,3,4,4,4,3,4,2
263,0.369,0.33,0.446,4.091666667,4.333333333,3.85,4.2,3.5,4,3,4,3,4,4,2,4,4,3,4,5,3,5,5,3,2,5,5,5,5,5,5,4,5,5,4,4,4,4,4,3
264,-0.313,-0.088,0.126,3.541666667,3.333333333,3.75,3.9,3.6,4,3,4,3,4,4,4,4,3,3,5,5,3,3,4,4,5,2,3,5,1,3,5,3,4,4,2,4,2,5,4,3
265,0.34,0.329,0.344,4.041666667,4.333333333,3.75,4.3,3.2,3,4,2,4,4,3,3,3,3,3,5,4,4,5,4,4,5,4,4,4,5,4,5,4,4,5,3,4,4,5,4,5
266,0.065,0.208,0.349,3.966666667,4.083333333,3.85,3.8,3.9,2,4,4,4,4,5,4,4,4,4,4,5,3,3,4,4,4,2,4,5,4,5,4,4,4,5,4,2,5,4,4,4
267,-0.511,-0.356,-0.559,2.983333334,2.916666667,3.05,2.9,3.2,3,3,3,3,4,4,3,3,3,3,2,4,4,4,2,4,2,2,2,3,2,5,3,3,1,3,3,3,1,4,3,4
268,-0.779,-0.174,-0.107,3.366666667,3.333333333,3.4,2.8,4,4,2,4,4,5,4,3,5,5,4,4,3,4,4,5,1,1,1,1,4,5,5,5,4,2,1,1,5,1,1,5,5
270,-0.914,-0.326,-0.498,3.05,3,3.1,2.8,3.4,5,2,5,3,2,2,3,4,4,4,3,5,3,1,2,2,2,4,4,2,4,4,2,4,2,3,3,3,2,3,4,2
271,0.679,0.205,0.506,4.008333334,3.916666667,4.1,4.6,3.6,4,4,3,2,4,5,4,4,3,3,5,5,4,4,5,5,5,5,4,4,2,4,4,4,5,2,5,5,4,5,4,3
272,-0.838,-0.341,-0.667,2.975,3,2.95,2.7,3.2,3,3,3,4,2,4,3,3,3,4,3,3,4,3,1,2,2,2,3,4,3,4,2,4,1,5,3,3,1,3,4,3
273,0.483,0.252,0.326,3.925,4.25,3.6,3.7,3.5,4,4,4,3,4,1,3,5,4,3,5,4,3,5,2,3,2,5,4,4,2,5,5,4,4,2,5,5,4,5,5,5
274,-0.149,-0.265,-0.177,3.283333334,2.916666667,3.65,3.8,3.5,5,2,5,3,2,4,4,4,4,2,4,5,4,5,4,2,4,4,4,2,1,4,4,3,3,2,4,5,1,2,4,2
275,-1.189,-0.291,-0.268,3.35,3,3.7,2.7,4.7,5,5,5,5,3,5,4,5,5,5,1,5,3,1,1,1,3,5,5,2,1,5,1,5,1,5,5,1,1,1,5,5
277,-0.463,-0.356,-0.522,2.983333334,2.916666667,3.05,2.9,3.2,3,3,3,3,2,2,4,4,4,4,2,4,4,1,1,4,3,3,3,4,3,3,2,3,3,3,3,3,4,2,3,3
278,0.088,0.051,0.099,3.716666667,3.583333333,3.85,4.5,3.2,3,3,2,5,5,2,1,4,3,4,4,5,2,5,5,4,5,5,5,5,5,4,4,5,2,2,2,3,4,4,4,4
279,0.258,0.038,-0.063,3.583333334,3.666666667,3.5,4.1,2.9,2,2,3,2,3,4,3,4,2,4,3,5,4,5,4,4,4,4,4,4,4,4,3,4,4,2,2,5,4,5,3,4
280,-0.267,-0.157,-0.281,3.4,3.25,3.55,3.5,3.6,4,2,4,3,2,5,3,4,5,4,3,5,4,4,2,2,2,4,4,5,2,4,3,5,2,4,4,5,1,4,4,1
282,-0.117,-0.095,-0.236,3.425,3.5,3.35,3.1,3.6,4,3,4,4,1,5,4,4,3,4,2,4,5,5,1,2,5,1,2,4,2,4,2,4,2,4,4,5,2,4,5,4
283,-0.565,-0.309,-0.492,3.05,3,3.1,3.1,3.1,3,4,4,3,3,2,1,3,4,4,2,4,3,2,2,4,4,3,3,4,2,3,2,4,2,4,3,3,2,4,5,2
284,0.901,0.316,0.676,4.183333334,4.166666667,4.2,4.7,3.7,4,4,2,2,4,2,5,5,4,5,5,5,5,5,4,5,5,4,4,5,5,5,5,1,4,1,5,5,5,4,5,5
285,0.401,0.163,0.14,3.908333334,3.916666667,3.9,4.1,3.7,4,3,3,4,4,4,3,4,4,4,5,4,4,4,2,4,4,5,5,4,4,4,4,4,3,4,4,5,4,4,4,3
286,-0.015,-0.014,-0.114,3.566666667,3.583333333,3.55,3.7,3.4,4,4,4,3,3,2,3,4,3,4,3,5,4,5,2,3,4,4,3,4,4,4,4,4,3,2,5,4,1,5,4,3
287,-0.049,0.331,0.685,4.108333334,4.416666667,3.8,3.7,3.9,4,3,5,5,3,2,4,5,4,4,5,5,5,5,5,1,3,1,2,5,5,5,5,3,5,4,1,5,5,5,5,5
288,0.155,0.08,0.213,3.858333334,3.666666667,4.05,4.2,3.9,4,4,5,4,3,3,3,4,4,5,5,5,5,5,4,3,3,3,4,5,4,4,3,3,3,4,4,5,2,2,5,5
289,-0.515,-0.222,-0.202,3.366666667,3.083333333,3.65,3.4,3.9,4,4,4,4,3,4,3,4,5,4,4,4,4,3,2,2,3,4,4,4,2,4,3,3,3,4,3,4,2,3,4,2
290,-0.561,-0.578,-0.78,2.7,2.25,3.15,3.5,2.8,3,2,3,4,3,2,2,4,3,2,4,5,1,5,2,2,4,4,4,4,3,4,1,2,1,2,2,4,1,2,4,1
291,-0.388,-0.159,-0.244,3.266666667,3.333333333,3.2,3.3,3.1,3,3,3,3,2,4,4,4,2,3,4,4,4,3,3,2,4,2,3,4,3,4,4,3,3,3,3,4,3,4,4,2
292,0.269,0.082,0.145,3.75,3.75,3.75,4,3.5,4,4,3,2,4,4,3,4,3,4,4,5,5,5,4,4,3,4,1,5,3,5,5,4,3,4,4,4,3,3,4,3
